region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV sales,Cars,BEV,2010,Vehicles,2400
EU27,Historical,EV sales,Vans,BEV,2010,Vehicles,1300
USA,Historical,EV sales,Cars,BEV,2010,Vehicles,1200
China,Historical,EV sales,Cars,BEV,2010,Vehicles,1100
EU27,Historical,EV sales,Cars,BEV,2010,Vehicles,1100
China,Historical,EV sales,Buses,BEV,2010,Vehicles,970
France,Historical,EV sales,Vans,BEV,2010,Vehicles,800
India,Historical,EV sales,Cars,BEV,2010,Vehicles,450
Norway,Historical,EV sales,Cars,BEV,2010,Vehicles,360
China,Historical,EV sales,Cars,PHEV,2010,Vehicles,340
United Kingdom,Historical,EV sales,Cars,BEV,2010,Vehicles,240
United Kingdom,Historical,EV sales,Vans,BEV,2010,Vehicles,230
Italy,Historical,EV sales,Vans,BEV,2010,Vehicles,210
France,Historical,EV sales,Cars,BEV,2010,Vehicles,190
Germany,Historical,EV sales,Vans,BEV,2010,Vehicles,170
Germany,Historical,EV sales,Cars,BEV,2010,Vehicles,140
EU27,Historical,EV sales,Buses,BEV,2010,Vehicles,130
China,Historical,EV sales,Vans,BEV,2010,Vehicles,120
Netherlands,Historical,EV sales,Cars,BEV,2010,Vehicles,120
EU27,Historical,EV sales,Cars,PHEV,2010,Vehicles,91
France,Historical,EV sales,Cars,PHEV,2010,Vehicles,82
Spain,Historical,EV sales,Cars,BEV,2010,Vehicles,76
Korea,Historical,EV sales,Cars,BEV,2010,Vehicles,61
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48
Italy,Historical,EV sales,Cars,BEV,2010,Vehicles,40
Netherlands,Historical,EV sales,Vans,BEV,2010,Vehicles,39
EU27,Historical,EV sales,Trucks,BEV,2010,Vehicles,26
France,Historical,EV sales,Trucks,BEV,2010,Vehicles,21
United Kingdom,Historical,EV sales,Cars,PHEV,2010,Vehicles,21
EU27,Historical,EV sales,Cars,FCEV,2010,Vehicles,16
France,Historical,EV sales,Buses,BEV,2010,Vehicles,16
Germany,Historical,EV sales,Cars,FCEV,2010,Vehicles,16
Poland,Historical,EV sales,Cars,BEV,2010,Vehicles,15
Portugal,Historical,EV sales,Cars,BEV,2010,Vehicles,13
Iceland,Historical,EV sales,Cars,FCEV,2010,Vehicles,11
Brazil,Historical,EV sales,Cars,BEV,2010,Vehicles,10
New Zealand,Historical,EV sales,Cars,BEV,2010,Vehicles,10
United Kingdom,Historical,EV sales,Trucks,BEV,2010,Vehicles,9
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7
Denmark,Historical,EV sales,Vans,BEV,2010,Vehicles,6
Korea,Historical,EV sales,Buses,BEV,2010,Vehicles,5
Denmark,Historical,EV sales,Trucks,BEV,2010,Vehicles,4
Sweden,Historical,EV sales,Cars,BEV,2010,Vehicles,4
United Kingdom,Historical,EV sales,Buses,BEV,2010,Vehicles,4
Poland,Historical,EV sales,Vans,BEV,2010,Vehicles,3
EU27,Historical,EV sales,Vans,FCEV,2010,Vehicles,2
Germany,Historical,EV sales,Vans,FCEV,2010,Vehicles,2
Japan,Historical,EV sales,Cars,FCEV,2010,Vehicles,2
Canada,Historical,EV sales,Trucks,BEV,2010,Vehicles,1
Norway,Historical,EV sales,Vans,BEV,2010,Vehicles,1
Poland,Historical,EV sales,Cars,PHEV,2010,Vehicles,1
Japan,Historical,EV sales,Cars,BEV,2011,Vehicles,13000
USA,Historical,EV sales,Cars,BEV,2011,Vehicles,9800
